Player,2024 Salary
Naz Hillmon,"$71,124"
Kalani Brown,"$125,000"
Rachel Banham,"$95,000"
Kayla Thornton,"$110,000"
Lexie Hull,"$77,669"
Jacy Sheldon,"$73,439"
Jade Melbourne,"$64,154"
Maya Caldwell,"$36,841"
Li Yueru,"$64,767"
Sami Whitcomb,"$140,000"
Nyara Sabally,"$72,727"
Tiffany Mitchell,"$139,050"
Natisha Hiedeman,"$120,000"
Dorka Juhász,"$66,597"
Kristy Wallace,"$71,124"
Cecilia Zandalasini,"$64,154"
Diamond DeShields,"$100,000"
Damiris Dantas,"$97,100"
Sevgi Uzun,"$64,154"
Layshia Clarendon,"$100,000"
Katie Lou Samuelson,"$175,000"
Destanni Henderson,"$8,892"
Sika Koné,"$64,154"
Mercedes Russell,"$160,000"
Haley Jones,"$72,727"
Natasha Mack,"$64,154"
Megan Gustafson,"$94,000"
Erica Wheeler,"$202,154"
Zia Cooke,"$69,663"
Stephanie Talbot,"$115,000"
Kennedy Burke,"$76,535"
Olivia Nelson-Ododa,"$71,124"
Ivana Dojkić,"$64,154"
Nia Coffey,"$150,000"
Crystal Dangerfield,"$36,436"
Crystal Dangerfield,"$15,912"
Crystal Dangerfield,"$21,218"
Mikiah Herbert Harrigan,"$64,154"
Victoria Vivians,"$85,000"
Victoria Vivians,"$76,535"
Veronica Burton,"$50,180"
Kaela Davis,"$5,304"
Kaela Davis,"$1,516"
Ezinne Kalu,"$1,270"
Joyner Holmes,"$61,380"
Diamond Miller,"$75,792"
Kierstan Bell,"$74,398"
Grace Berger,"$72,727"
Jaelyn Brown,"$64,154"
Celeste Taylor,"$29,962"
Celeste Taylor,"$13,338"
Celeste Taylor,"$8,893"
Celeste Taylor,"$4,446"
Kate Martin,"$67,249"
Amy Atwell,"$8,892"
Amy Atwell,$635
Sydney Colson,"$76,535"
DiDi Richards,"$64,154"
Alissa Pili,"$73,439"
Sug Sutton,"$64,154"
Morgan Bertsch,"$19,056"
Morgan Bertsch,"$2,858"
Jaylyn Sherrod,"$13,338"
Jaylyn Sherrod,"$17,150"
Liz Dixon,"$32,395"
Liz Dixon,"$4,446"
Queen Egbo,"$18,415"
Queen Egbo,"$6,352"
Queen Egbo,"$2,541"
Queen Egbo,"$8,892"
Kiah Stokes,"$100,000"
Moriah Jefferson,"$141,500"
Brianna Turner,"$150,000"
Marquesha Davis,"$70,344"
Laeticia Amihere,"$72,727"
Lorela Cubaj,"$64,154"
Astou Ndour-Fall,"$125,000"
Stephanie Soares,"$76,535"
Kysre Gondrezick,"$30,489"
Charisma Osborne,"$45,098"
Jakia Brown-Turner,"$3,811"
Jakia Brown-Turner,"$8,892"
Lou Lopez Sénéchal,"$72,727"
Victaria Saxton,"$64,154"
Dulcy Fankam Mendjiadeu,"$13,188"
Kiana Williams,"$32,395"
Kiana Williams,"$8,892"
Olivia Époupa,"$64,154"
Olivia Époupa,$635
Emma Cannon,UFA
Emma Cannon,"$27,280"
Nika Mühl,"$67,249"
Dyaisha Fair,"$9,987"
Taylor Soule,"$8,893"
Jessika Carter,"$10,798"
Caitlin Bickle,"$8,892"
Caitlin Bickle,"$13,339"
