,Player,2023/24
235,Furkan Korkmaz,"$5,370,370"
236,Josh Primo,"$5,341,600"
237,Jeremy Sochan,"$5,316,960"
238,Cason Wallace,"$5,291,352"
239,Isaiah Stewart,"$5,266,713"
240,Chuma Okeke,"$5,266,712"
241,Davion Mitchell,"$5,063,640"
242,Johnny Davis,"$5,050,800"
243,Jalen Smith,"$5,043,773"
244,Jett Howard,"$5,026,824"
245,Reggie Jackson,"$5,000,000"
246,Mason Plumlee,"$5,000,000"
247,Ziaire Williams,"$4,810,200"
248,Ousmane Dieng,"$4,798,440"
249,Taj Gibson,"$4,776,302"
250,Dereck Lively,"$4,775,628"
251,Josh Green,"$4,765,339"
252,Nickeil Alexander-Walker,"$4,687,500"
253,Jarred Vanderbilt,"$4,640,000"
254,James Bouknight,"$4,570,080"
255,Jalen Williams,"$4,558,680"
256,Saddiq Bey,"$4,556,983"
257,Gradey Dick,"$4,536,708"
258,Taurean Prince,"$4,516,000"
259,Jalen McDaniels,"$4,516,000"
260,Precious Achiuwa,"$4,379,526"
261,Tyrese Maxey,"$4,343,920"
262,Jalen Duren,"$4,330,680"
263,Danuel House,"$4,310,250"
264,Jordan Hawkins,"$4,310,196"
265,Mike Muscala,"$4,308,297"
266,Zeke Nnaji,"$4,306,281"
267,Immanuel Quickley,"$4,171,548"
268,Chris Duarte,"$4,124,400"
269,Ochai Agbaji,"$4,114,200"
270,Kobe Bufkin,"$4,094,244"
271,Payton Pritchard,"$4,037,277"
272,Seth Curry,"$4,000,000"
273,Dwight Powell,"$4,000,000"
274,Troy Brown,"$4,000,000"
275,Moses Moody,"$3,918,480"
276,Mark Williams,"$3,908,160"
277,Jaden McDaniels,"$3,901,399"
278,Keyonte George,"$3,889,776"
279,Malachi Flynn,"$3,873,024"
280,Desmond Bane,"$3,845,083"
281,James Johnson,"$3,839,412"
282,Russell Westbrook,"$3,835,738"
283,Kevin Love,"$3,835,738"
284,Ricky Rubio,"$3,722,327"
285,Corey Kispert,"$3,722,040"
286,AJ Griffin,"$3,712,920"
287,Jalen Hood-Schifino,"$3,695,076"
288,Amir Coffey,"$3,666,667"
289,Alperen Sengun,"$3,536,280"
290,Tari Eason,"$3,527,160"
291,Jaime Jaquez,"$3,510,540"
292,Andre Drummond,"$3,360,000"
293,Trey Murphy,"$3,359,280"
294,Brandin Podziemski,"$3,352,404"
295,Dalen Terry,"$3,350,760"
296,Keon Johnson,"$3,342,765"
297,Cameron Whitmore,"$3,218,160"
298,Jake LaRavia,"$3,199,920"
299,Kai Jones,"$3,198,778"
300,Wesley Matthews,"$3,196,448"
301,Ishmael Smith,"$3,196,448"
302,Tristan Thompson,"$3,196,448"
303,Markieff Morris,"$3,196,448"
304,Justin Holiday,"$3,196,448"
305,DeAndre Jordan,"$3,196,448"
306,Cory Joseph,"$3,196,448"
307,Derrick Rose,"$3,196,448"
308,Jae Crowder,"$3,196,448"
309,Patrick Beverley,"$3,196,448"
310,Cody Zeller,"$3,196,448"
311,Eric Gordon,"$3,196,448"
312,Alex Len,"$3,196,448"
313,Robin Lopez,"$3,196,448"
314,Garrett Temple,"$3,196,448"
315,Tre Mann,"$3,191,400"
316,Usman Garuba,"$3,159,790"
317,Noah Clowney,"$3,089,460"
318,Malaki Branham,"$3,071,880"
319,Simone Fontecchio,"$3,044,872"
320,Dante Exum,"$3,000,000"
321,Julian Champagnie,"$3,000,000"
322,Jordan Nwora,"$3,000,000"
323,Dariq Whitehead,"$2,966,040"
324,Christian Braun,"$2,949,120"
325,Jalen Johnson,"$2,925,360"
326,Boban Marjanovic,"$2,891,467"
327,Josh Richardson,"$2,891,467"
328,Kelly Oubre,"$2,891,467"
329,Kris Murray,"$2,847,504"
330,Andrew Nicholson,"$2,844,429"
331,Walker Kessler,"$2,831,160"
332,TyTy Washington,"$2,830,222"
333,Josh Okogie,"$2,815,937"
334,Omer Yurtseven,"$2,800,000"
335,Dewayne Dedmon,"$2,748,674"
336,Olivier-Maxence Prosper,"$2,733,720"
337,Josh Christopher,"$2,732,920"
338,David Roddy,"$2,718,240"
339,Derrick Jones,"$2,709,849"
340,Dario Saric,"$2,709,849"
341,Christian Wood,"$2,709,849"
342,Malik Beasley,"$2,709,849"
343,Chimezie Metu,"$2,697,258"
344,Isaiah Jackson,"$2,696,280"
345,Marcus Sasser,"$2,624,028"
346,MarJon Beauchamp,"$2,609,400"
347,Charles Bassey,"$2,600,000"
348,Damian Jones,"$2,586,665"
349,Kenneth Lofton,"$2,586,618"
350,Kris Dunn,"$2,586,484"
351,Bruno Fernando,"$2,581,522"
352,Jeremiah Robinson-Earl,"$2,548,843"
353,Ben Sheppard,"$2,537,172"
354,Dennis Smith,"$2,528,233"
355,Frank Ntilikina,"$2,528,233"
356,Torrey Craig,"$2,528,233"
357,Ryan Arcidiacono,"$2,528,233"
358,Thomas Bryant,"$2,528,233"
359,Damion Lee,"$2,528,233"
360,Blake Wesley,"$2,504,640"
361,Lamar Stevens,"$2,492,354"
362,Nick Smith,"$2,463,912"
363,Brice Sensabaugh,"$2,448,600"
364,Ty Jerome,"$2,439,025"
365,Julian Strawther,"$2,431,044"
366,Tristan Vukcevic,"$2,424,892"
367,Wendell Moore,"$2,421,720"
